PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,STATUS,MODEL,MODEL_DETAIL,BASIN,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,STATION,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-05-04T10:20:00,61.6455,-37.2247,,MERIAN,300125063415280,4902727,P5389A-25CA002
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-05-03T19:17:00,59.2896,-40.1547,,MERIAN,300125063313520,4902719,P5389A-25CA004
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-05-03T10:22:00,57.9958,-41.9747,,MERIAN,300125063411300,4902732,P5389B-25CA002
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-05-02T18:40:00,55.4984,-44.7210,,MERIAN,300125063212730,4902730,P5389A-25CA009
Argo Dalhousie,Katja Fennel,Dal,CONFIRMED,PROVOR,PROVOR_CTS5,ATL,2026-05-02T10:32:00,54.2361,-46.0642,,MERIAN,300125063128670,4902735,P5389B-25CA008
