PROGRAM,PRINCPIAL INVESTIGATOR,INSTITUTE,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,DEPLOYMENT SHIP,IMEI,REF,SERIAL NUMBER,MODEL,SENSOR_MODEL
Argo Canada,Blair Greenan,BIO,2025-04-18,43.5,-61.5,ENDEAVOR,300534064691430,4902699,AI2600-24CA008,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-04-20,43.5,-57.5,ENDEAVOR,300534063214380,4902702,AI2600-24CA011,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-20,60,-53.5,L'ATLANTE,300534064794170,4902692,AI2600-24CA001,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-21,59.9,-53.75,L'ATLANTE,300534064797180,4902693,AI2600-24CA002,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-22,59.8,-54,L'ATLANTE,300534064592830,4902695,AI2600-24CA004,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-23,59.7,-54.25,L'ATLANTE,300534064690430,4902696,AI2600-24CA005,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-24,59.6,-54.75,L'ATLANTE,300534064599850,4902697,AI2600-24CA006,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-05-25,59.5,-55,L'ATLANTE,300534064691390,4902700,AI2600-24CA009,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-10-05,43.5,-61.5,DISCOVERY,300534064592810,4902701,AI2600-24CA010,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,BIO,2025-10-05,43.5,-57.5,DISCOVERY,300125061376210,4902621,P41305-22CA002,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER"
Argo Canada,Blair Greenan,IOS,2025-10-10,73,-140,LOUIS S. ST. LAURENT,300534063792880,4902672,AI3500-23CA003,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,IOS,2025-10-10,72.5,-144.75,LOUIS S. ST. LAURENT,300534063895260,4902673,AI3500-23CA004,GENERIC CORE FLOAT,GENERIC_TEMP_SALINITY_DEPTH_PROBE
Argo Canada,Blair Greenan,IOS,2025-07-10,50,-145,JOHN P. TULLY,,,P41305-xxCAxxx,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER"
Argo Canada,Blair Greenan,IOS,2025-07-12,50,-145,JOHN P. TULLY,,,P41305-xxCAxxx,GENERIC BGC FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR,GENERIC_BACKSCATTER_FLUOROMETER"
Argo ONC,Kohen Bauer,ONC,2025-05-15,51.9108,-137.984,SIR WILFRID LAURIER,300534063709190,4902645,AD2700-22CA003,GENERIC DEEP FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
Argo ONC,Kohen Bauer,ONC,2025-05-17,52.6525,-141.177,SIR WILFRID LAURIER,300534063601840,4902646,AD2700-22CA004,GENERIC DEEP FLOAT,"GENERIC_TEMP_SALINITY_DEPTH_PROBE,GENERIC_DISSOLVED_OXYGEN_SENSOR"
