MODEL,MODEL_DETAIL,DEPLOYMENT DATE,DEPLOYMENT LAT,DEPLOYMENT LON,DEPLOYMENT SHIP,REF,SERIAL NUMBER,COMMENT,NVS VOCAB FAILURE
ARVOR,ARVOR_SBE,2021-12-16T21:31:00,37.1839,-64.4355,IRIS,4902573,AI2600-21CA014,Some shallow/missing cycles. Failed vacuum pressure test.,
ARVOR,ARVOR_RBR,2021-04-26T02:32:00,16.5397,-67.3468,R/V Thomas G Thompson,4902533,AI3500-20CA001,RBR-NKE rapid power drawdown,
